No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years
649,ONL,Real Estate,REIT - Office,USA,300650000.0,-999,-999,-999,1.49,0.33,0.58,-999,1.6103,0.0,0.8343,-0.0318,2.15,-0.063,-999,0.59,-0.2979,-0.0152,-0.4187,0.2222,-0.8222,0.2222,5.39,0.0,False,False
650,NVEI,Technology,Software - Infrastructure,Canada,3540000000.0,-999,11.86,-999,3.26,1.77,0.87,-999,0.5655,0.0,0.2673,-999,4.35,-0.0059,1.02,0.62,-0.0107,0.0956,-0.4186,0.9122,-0.8184,0.9122,25.47,0.0,False,True
661,ROOT,Financial,Insurance - Property & Casualty,USA,126140000.0,-999,-999,-999,0.38,0.71,-999,-0.4402,1.4482,0.0021,0.2193,0.0457,8.46,-0.5213,-999,1.0,-0.5756,-0.1431,-0.4162,1.6103,-0.9837,1.6103,8.64,57338.0,False,False
663,MLCO,Consumer Cyclical,Resorts & Casinos,Hong Kong,3690000000.0,-999,21.09,-999,1.22,-999,3.24,-999,-0.1894,0.0,0.3933,0.0191,2.04,-999,1.63,-999,-0.1236,0.0497,-0.4154,0.2426,-0.7901,3.2261,8.45,0.0,False,True
669,HL,Basic Materials,Other Precious Metals & Mining,USA,2530000000.0,-999,42.58,-999,3.35,1.26,0.16,0.0146,0.07,0.0002,0.6,-0.0023,2.23,-0.0233,1.04,0.32,-0.0612,-0.106,-0.4136,0.1555,-0.8449,7.2574,4.1,34585.0,False,True
670,SVM,Basic Materials,Silver,Canada,434980000.0,13.62,10.08,2.72,2.1,0.89,1.07,-0.1609,0.0466,0.0,0.3186,-0.0951,2.06,0.0681,3.93,0.0,0.1568,-0.0364,-0.4136,0.1827,-0.8493,24.017,2.46,0.0,False,True
675,CRK,Energy,Oil & Gas E&P,USA,2210000000.0,3.53,10.04,0.18,1.06,0.97,0.07,-999,0.8008,0.0,0.3411,0.0343,5.11,0.3183,0.42,1.16,0.2976,-0.1388,-0.4112,0.0258,-0.9825,2.0076,7.94,0.0,False,True
677,CLB,Energy,Oil & Gas Equipment & Services,USA,769480000.0,18.94,17.15,0.93,1.51,3.42,0.36,-0.2593,-0.0777,0.0,1.0404,0.0051,13.6,0.2021,1.82,1.02,0.081,-0.0586,-0.4106,0.1046,-0.9255,6.1069,16.47,0.0,False,False
679,IMPP,Energy,Oil & Gas Midstream,Greece,57590000.0,0.09,-999,-999,0.3,0.16,7.37,-999,1.6554,0.0,0.146,0.6839,5.98,0.2527,9.83,0.03,0.3842,0.4185,-0.4102,1.8559,-0.9768,1.8559,3.37,0.0,False,True
681,SAFE,Real Estate,REIT - Diversified,USA,1490000000.0,-999,13.83,-999,5.29,0.66,0.56,-0.823,-0.3174,0.002,0.647,0.0175,7.02,-0.0897,-999,1.77,-0.6494,-0.0189,-0.4098,0.398,-0.9053,10.4367,20.97,948594.0,True,True
