No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price
3452,RNW,Utilities,Utilities - Renewable,India,2390000000.0,63.56,142.35,-999,2.36,1.98,2.67,-999,0.2184,0.0,0.3463,-0.038,7.64,0.0253,0.87,5.51,0.0335,-0.0789,-0.1759,0.5911,-0.544,0.5911,6.42
3453,ROAD,Industrials,Engineering & Construction,USA,2470000000.0,43.09,28.09,-999,1.53,4.74,1.32,-0.0325,0.1889,-0.0271,0.7813,-0.0023,2.18,0.1162,1.39,0.88,0.0352,0.0792,-0.0767,0.9406,-0.0767,5.0792,46.81
3454,ROCK,Industrials,Building Products & Equipment,USA,2610000000.0,28.0,18.26,1.4,1.92,2.92,2.81,0.057,0.0952,0.0,0.9738,-0.0403,1.92,0.109,1.17,0.02,0.0693,0.1039,0.0033,0.9095,-0.1663,24.1877,85.89
3455,ROCL,Financial,Shell Companies,USA,63300000.0,-999,-999,-999,-999,2.55,4.58,-999,0.0,-0.009,0.4108,1.0382,0.12,-0.0222,12.71,0.02,-999,0.0162,-0.093,0.0665,-0.093,0.1189,10.82
3456,ROG,Technology,Electronic Components,USA,2220000000.0,22.24,23.57,-999,2.39,1.83,6.79,0.0724,0.0297,0.012,0.9523,-0.0246,2.05,0.0875,3.42,0.08,0.1086,-0.0424,-0.3113,0.0736,-0.5656,40.4817,119.26
3457,ROIC,Real Estate,REIT - Retail,USA,1690000000.0,46.28,48.54,5.79,5.23,1.32,1.65,0.0354,0.0155,-0.0006,1.0151,0.0002,3.38,0.028,-999,1.33,0.112,-0.0239,-0.1295,0.2235,-0.4148,1.3098,13.44
3458,ROIV,Healthcare,Biotechnology,United Kingdom,8690000000.0,-999,-999,-999,84.25,9.13,1.76,0.2179,5.7116,-0.1144,0.5616,0.026,5.96,-1.0396,5.82,0.53,-9.5176,0.0279,-0.1835,0.6416,-0.355,3.2897,10.81
3459,ROK,Industrials,Specialty Industrial Machinery,USA,32490000000.0,26.97,20.9,3.73,3.56,9.01,3.84,0.2317,0.0662,-0.0802,0.8256,-0.013,2.0,0.372,0.8,1.04,0.133,-0.0327,-0.1866,0.1245,-0.2014,167.9083,283.5
3460,ROKU,Communication Services,Entertainment,USA,13650000000.0,-999,-999,-999,4.05,5.92,14.34,-0.4138,0.4453,-0.0127,0.6784,0.0504,1.93,-0.3416,2.37,0.29,-0.2579,0.0223,-0.1198,0.8559,-0.8048,5.0825,95.8
3461,ROL,Consumer Cyclical,Personal Services,USA,21050000000.0,52.14,42.66,3.55,7.06,19.08,0.3,0.1544,0.1031,-0.3925,0.5223,0.0183,4.35,0.357,0.76,0.82,0.1377,0.0149,-0.0346,0.3507,-0.0346,289.3321,43.48
3462,ROOT,Financial,Insurance - Property & Casualty,USA,110670000.0,-999,-999,-999,0.33,0.62,-999,-0.4402,1.4482,0.0021,0.221,0.0457,8.21,-0.5213,-999,1.0,-0.5756,-0.2265,-0.4878,1.29,-0.9857,1.29,7.58
3463,ROP,Technology,Software - Application,USA,58780000000.0,43.34,28.0,4.09,9.51,3.45,2.01,0.0703,0.0391,-0.1243,0.9554,-0.0303,3.33,0.0815,0.46,0.36,0.2208,0.018,-0.0221,0.3203,-0.0221,381.7896,550.26
3464,ROSS,Financial,Shell Companies,USA,150190000.0,41.01,-999,-999,-999,4.19,0.0,-999,-999,-999,0.826,0.6414,0.06,0.043,0.0,0.0,-999,0.007,-0.0036,0.0806,-0.0036,0.1568,10.99
