No.,Ticker,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,Cash/sh,EPS past 5Y,Sales past 5Y,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROE,Quick R,Debt/Eq,Profit M,SMA50,52W High,52W Low,All-Time High,All-Time Low,Price,Insider 6M Sum,Insider 6M Sum > 100K,Any profit over 5 years,Fundamental Score
360,ATUS,Communication Services,Telecom Services,USA,1310000000.0,-999.0,5.66,-999.0,0.14,-999.0,0.42,-0.2752,0.0025,0.0,0.3617,0.0299,5.02,-999.0,0.26,-999.0,-0.0024,-0.1796,-0.5757,0.1719,-0.9466,0.1719,2.05,0.0,False,True,4
4001,TSAT,Technology,Communication Equipment,Canada,132060000.0,1.05,-999.0,0.05,0.24,0.27,96.54,0.2945,-0.0426,0.0,0.68,1.245,6.42,0.3081,9.01,4.98,0.229,-0.0386,-0.5732,0.584,-0.8373,3.1311,9.71,0.0,False,True,5
3804,SUP,Consumer Cyclical,Auto Parts,USA,89330000.0,-999.0,-999.0,-999.0,0.06,-999.0,6.28,-999.0,0.0395,0.0083,0.2567,-0.0035,1.73,-0.5159,1.49,4.07,-0.0759,0.0242,-0.5691,0.2771,-0.9409,10.3488,3.18,138914.0,True,True,4
4171,VLN,Technology,Semiconductors,Israel,225450000.0,-999.0,-999.0,-999.0,2.63,1.43,1.44,-999.0,0.1751,0.0,0.1512,-0.0287,1.06,-0.1809,8.38,0.0,-0.3474,-0.0223,-0.5682,0.1692,-0.813,0.1692,2.28,0.0,False,False,4
2200,JKS,Technology,Solar,China,1310000000.0,2.65,5.65,0.07,0.08,0.48,58.31,0.2338,0.3784,0.0,0.4,-0.0944,2.51,0.2367,0.79,2.69,0.0355,-0.1802,-0.5682,0.1012,-0.7177,11.73,25.46,0.0,False,True,4
660,BWEN,Industrials,Specialty Industrial Machinery,USA,52690000.0,14.63,-999.0,0.61,0.27,0.98,0.08,-0.1484,0.1207,0.0164,0.3435,0.2121,1.39,0.0724,0.71,0.9,0.0189,-0.0064,-0.5638,0.2239,-0.9915,2.69,2.46,129503.0,True,True,4
2726,MYPS,Communication Services,Electronic Gaming & Multimedia,USA,293530000.0,-999.0,1460.0,-999.0,0.94,0.97,0.97,-999.0,0.0375,0.0,0.2707,0.0383,2.33,-0.0041,4.92,0.04,-0.0039,-0.114,-0.5624,0.033,-0.8341,0.033,2.19,0.0,False,True,5
1952,HQI,Industrials,Staffing & Employment Services,USA,179170000.0,20.1,15.16,-999.0,4.95,2.85,0.08,0.2251,0.2907,0.0056,0.1067,-0.0724,6.75,0.1449,1.51,0.24,0.2444,-0.1208,-0.5613,0.0412,-0.8786,20.4833,12.89,829608.0,True,True,6
3134,PFIE,Energy,Oil & Gas Equipment & Services,USA,69010000.0,7.59,8.53,0.36,1.19,1.26,0.23,-0.0179,0.0941,0.0,0.4339,0.0221,3.26,0.1878,4.77,0.0,0.1611,-0.0969,-0.5593,0.3426,-0.7538,13.5,1.45,0.0,False,True,5
1924,HMST,Financial,Banks - Regional,USA,235120000.0,-999.0,13.48,-999.0,0.53,0.44,-999.0,-999.0,0.0668,0.0,0.745,-0.0352,3.84,-0.05,-999.0,3.66,-0.0623,0.1448,-0.5591,1.9762,-0.7822,1.9762,12.5,0.0,False,True,3
